Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Assembly Level
GCA_964175115.1	INEI124376	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964175475.1	INEI124052	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964177795.1	INEI124690	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964179735.1	INEI124789	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964181095.1	INEI124744	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964181705.1	INEI125230	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080605.1	INEI108194	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964089455.1	INEI110220	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964089505.1	INEI110633	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964090585.1	INEI109976	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964090615.1	INEI109997	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964107225.1	INEI109853	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964111905.1	INEI114390	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964112785.1	INEI114238	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964116175.1	INEI114748	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964120435.1	INEI115522	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964121865.1	INEI115651	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964121955.1	INEI115915	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964122405.1	INEI115660	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964122745.1	INEI115717	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964122795.1	INEI115590	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964123345.1	INEI115763	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964123805.1	INEI116072	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964123845.1	INEI116131	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964123965.1	INEI116322	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964123985.1	INEI116084	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964124165.1	INEI116175	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964124185.1	INEI116389	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964124255.1	INEI116121	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964124275.1	INEI116065	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964124625.1	INEI116086	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964124675.1	INEI116063	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964125085.1	INEI115985	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964125455.1	INEI116126	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964125645.1	INEI116357	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964125825.1	INEI116180	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964125885.1	INEI116049	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964126015.1	INEI116194	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964126195.1	INEI116235	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964126375.1	INEI116225	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964126555.1	INEI116311	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964126635.1	INEI116168	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964126645.1	INEI116088	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964126735.1	INEI116295	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964127105.1	INEI116452	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964127945.1	INEI116461	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964128325.1	INEI116655	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964130155.1	INEI116921	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964130175.1	INEI116925	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964130355.1	INEI117425	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964130465.1	INEI117378	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964130645.1	INEI117095	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964130695.1	INEI117011	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964131215.1	INEI117254	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964131255.1	INEI116975	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964131555.1	INEI117341	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964131685.1	INEI117317	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964131795.1	INEI116957	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964132315.1	INEI117302	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964132745.1	INEI117368	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964133045.1	INEI116963	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964133055.1	INEI117104	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964133085.1	INEI117010	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964133145.1	INEI117102	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964133355.1	INEI117075	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964133445.1	INEI117065	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964133535.1	INEI117090	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964134925.1	INEI117443	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964136925.1	INEI117442	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964143205.1	INEI119482	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964171395.1	INEI123836	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964173785.1	INEI123698	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964174885.1	INEI123982	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964177285.1	INEI124228	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964181035.1	INEI124771	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964063545.1	INEI104905	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964125465.1	INEI116073	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964128195.1	INEI116701	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964130275.1	INEI117163	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964132115.1	INEI117183	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964176855.1	INEI124196	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964112385.1	INEI114302	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964121255.1	INEI115583	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964123155.1	INEI115607	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964126675.1	INEI116115	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964149015.1	INEI120312	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964156415.1	INEI121638	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964172645.1	INEI123759	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964177235.1	INEI124018	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964181025.1	INEI124736	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964060505.1	INEI102295	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964062645.1	INEI102873	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964062945.1	INEI101889	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964116235.1	INEI114736	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964120455.1	INEI115608	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964120835.1	INEI115604	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964155345.1	INEI121552	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964155385.1	INEI121546	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964174095.1	INEI124319	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964175025.1	INEI124299	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964178025.1	INEI124779	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964178655.1	INEI124692	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964121375.1	INEI115891	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964125125.1	INEI115984	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964068975.1	INEI105765	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964074605.1	INEI107111	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964085105.1	INEI109428	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964085745.1	INEI109633	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964093675.1	INEI111216	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964096425.1	INEI111961	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964096875.1	INEI111557	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964123035.1	INEI115622	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964128725.1	INEI116833	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964131645.1	INEI117339	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964145345.1	INEI119742	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964147645.1	INEI120290	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964147805.1	INEI120314	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964175145.1	INEI124372	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964175245.1	INEI124037	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964183235.1	INEI125197	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964066955.1	INEI105852	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964069125.1	INEI105796	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964078255.1	INEI107074	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964121825.1	INEI115904	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964171765.1	INEI123889	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964175135.1	INEI124375	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964176915.1	INEI124082	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964070585.1	INEI106164	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964090285.1	INEI110513	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964123765.1	INEI116132	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964166495.1	INEI122886	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964166685.1	INEI122855	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964169575.1	INEI123050	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964170535.1	INEI123828	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964170785.1	INEI123775	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964176265.1	INEI124024	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964180795.1	INEI124838	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964075215.1	INEI107843	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964090815.1	INEI109882	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964107665.1	INEI113571	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964125985.1	INEI116273	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964126875.1	INEI116298	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964128335.1	INEI116856	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964130165.1	INEI116930	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964131475.1	INEI117297	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964147175.1	INEI120597	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964166705.1	INEI122826	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964172355.1	INEI123790	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964174425.1	INEI124366	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964174565.1	INEI124355	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964125575.1	INEI116007	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964129825.1	INEI116658	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964132435.1	INEI117220	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964152915.1	INEI120887	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964156495.1	INEI121647	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964156805.1	INEI121600	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964158415.1	INEI121772	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964158425.1	INEI121835	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964174035.1	INEI123746	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964177695.1	INEI124245	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964178405.1	INEI124697	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964124545.1	INEI116181	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964156565.1	INEI121623	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964156815.1	INEI121624	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964184615.1	INEI125531	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964123385.1	INEI115839	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964151565.1	INEI120973	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964153525.1	INEI120877	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964154895.1	INEI121545	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964165275.1	INEI122871	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964174255.1	INEI124331	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964175955.1	INEI124172	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964177005.1	INEI124140	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964078745.1	INEI107283	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964088765.1	INEI110492	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964149655.1	INEI120506	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964151095.1	INEI121061	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964151235.1	INEI120825	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964152325.1	INEI120888	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964153335.1	INEI120832	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964154925.1	INEI121582	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964156525.1	INEI121641	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964157085.1	INEI121742	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964157385.1	INEI121876	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964157575.1	INEI121814	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964158785.1	INEI121796	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964159135.1	INEI121770	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964165865.1	INEI122846	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964167405.1	INEI123280	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964167505.1	INEI123270	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964168585.1	INEI123042	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964124575.1	INEI116109	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964151155.1	INEI120863	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964152855.1	INEI120966	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964153535.1	INEI120855	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964153975.1	INEI121630	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964155135.1	INEI121561	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964155315.1	INEI121571	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964156945.1	INEI121827	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964158585.1	INEI121738	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964159675.1	INEI122322	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964166975.1	INEI123358	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964173765.1	INEI123701	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964175075.1	INEI124462	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964094885.1	INEI111322	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964125805.1	INEI116066	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964149535.1	INEI120514	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964151275.1	INEI120798	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964151965.1	INEI120842	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964152475.1	INEI120958	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964152495.1	INEI120954	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964152545.1	INEI120859	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964152725.1	INEI120970	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964152755.1	INEI121024	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964152985.1	INEI120844	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964153175.1	INEI120849	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964153195.1	INEI120816	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964153465.1	INEI120847	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964153805.1	INEI121646	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964154795.1	INEI121203	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964155245.1	INEI121253	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964156915.1	INEI121763	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964156955.1	INEI121764	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964157145.1	INEI121704	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964158705.1	INEI121662	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964159185.1	INEI121771	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964164795.1	INEI122745	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964166435.1	INEI122906	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964167985.1	INEI123304	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964168965.1	INEI123346	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964170695.1	INEI123849	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964171135.1	INEI123660	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964171535.1	INEI123904	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964173135.1	INEI123688	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964173675.1	INEI123684	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964129285.1	INEI116874	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964133415.1	INEI116978	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964151905.1	INEI120778	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964152025.1	INEI120920	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964152535.1	INEI120880	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964154255.1	INEI121650	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964156885.1	INEI121803	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964156935.1	INEI121905	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964157935.1	INEI121798	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964159205.1	INEI121766	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964162635.1	INEI122459	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964168065.1	INEI123419	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964169165.1	INEI123508	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964169295.1	INEI123493	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964169815.1	INEI123481	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964170955.1	INEI123774	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964171335.1	INEI123649	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964172855.1	INEI123685	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964173985.1	INEI123742	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964062345.1	INEI102301	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964066975.1	INEI105832	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964068145.1	INEI105190	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964069015.1	INEI105800	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964069365.1	INEI105849	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964074205.1	INEI106728	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964075695.1	INEI107841	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964081515.1	INEI108107	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083565.1	INEI109255	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964085325.1	INEI109418	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964088685.1	INEI110502	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964088775.1	INEI110491	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964091505.1	INEI110211	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964092775.1	INEI111017	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964092795.1	INEI111259	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964096215.1	INEI111998	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964096625.1	INEI111732	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964103675.1	INEI113012	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964107345.1	INEI109855	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964122505.1	INEI115614	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964123365.1	INEI115818	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964124445.1	INEI116164	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964124965.1	INEI116191	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964125485.1	INEI116386	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964128575.1	INEI116775	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964128625.1	INEI116778	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964130135.1	INEI116876	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964130305.1	INEI117416	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964130845.1	INEI117044	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964131595.1	INEI117422	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964132645.1	INEI117417	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964133295.1	INEI117053	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964134465.1	INEI117546	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964151865.1	INEI120924	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964152335.1	INEI120889	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964152595.1	INEI120922	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964154105.1	INEI121609	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964155025.1	INEI121576	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964156845.1	INEI121653	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964158865.1	INEI121781	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964163235.1	INEI122432	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964163615.1	INEI122707	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964167005.1	INEI123025	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
